,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
TONIKAWA: Over the Moon For You,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,Saturdays at 01:05 (JST),Seven Arcs,"['Comedy', 'Romance', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.93,354,413414,5786,55954,243270,10422,11104,92664,413414,32477,41500,72480,50190,16605,6103,2210,1008,472,529
Ushio & Tora,TV,13,Finished Airing,"Apr 1, 2016 to Jun 24, 2016",Spring 2016,Fridays at 22:30 (JST),"MAPPA,       Studio VOLN","['Action', 'Adventure', 'Comedy', 'Demons', 'Supernatural', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,1389,110015,273,5935,75105,2712,2399,23864,110015,6509,11513,18555,12341,4206,1544,473,172,91,90
School Rumble - Statistics,TV,26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,Tuesdays at 18:00 (JST),Studio Comet,"['Comedy', 'Romance', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.92,549,285557,4746,12884,162368,13205,13869,83231,285557,18206,28075,39138,28317,11538,5585,1964,808,462,472
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai - Statistics,Movie,1,Finished Airing,"Mar 15, 2014",,,Studio Deen,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",50 min.,PG-13 - Teens 13 or older,7.92,2280,53973,182,930,40608,340,410,11685,53973,4600,5174,7260,5652,2333,903,274,111,71,106
KenIchi: The Mightiest Disciple OVA,OVA,11,Finished Airing,"Mar 14, 2012 to May 16, 2014",,,Brain's Base,"['Action', 'Martial Arts', 'Comedy', 'School', 'Shounen']",27 min. per ep.,R+ - Mild Nudity,7.92,2406,48908,83,5474,30403,2047,892,10092,48908,3363,4830,8227,5586,1936,671,230,80,37,47
Polar Bear Cafe,TV,50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013",Spring 2012,Thursdays at 17:30 (JST),Studio Pierrot,"['Slice of Life', 'Comedy', 'Josei']",24 min. per ep.,G - All Ages,7.92,1793,78660,808,9838,15038,9549,7837,36398,78660,2736,3304,5205,4668,2293,1252,413,167,105,108
Tiger & Bunny - Statistics,TV,25,Finished Airing,"Apr 3, 2011 to Sep 18, 2011",Spring 2011,Unknown,Sunrise,"['Action', 'Mystery', 'Comedy', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,7.92,854,191709,2621,11280,91537,9366,9518,70008,191709,8508,16749,24771,16618,6356,2885,1090,372,227,222
Bloom Into You,TV,13,Finished Airing,"Oct 5, 2018 to Dec 28, 2018",Fall 2018,Fridays at 21:30 (JST),TROYCA,"['Drama', 'Romance', 'School', 'Shoujo Ai']",24 min. per ep.,PG-13 - Teens 13 or older,7.92,722,222811,3869,18640,104817,7469,7455,84430,222811,12079,19155,27919,19519,7372,3062,1182,419,237,392
Zoku Sayonara Zetsubou Sensei - Statistics,TV,13,Finished Airing,"Jan 6, 2008 to Mar 30, 2008",Winter 2008,Sundays at Unknown,Shaft,"['Comedy', 'Parody', 'School', 'Shounen']",25 min. per ep.,R - 17+ (violence & profanity),7.92,1339,115417,451,5640,66595,5580,2889,34713,115417,6134,11311,17843,12175,3994,1406,453,159,88,119
anohana: The Flower We Saw That Day The Movie,Movie,1,Finished Airing,"Aug 31, 2013",,,A-1 Pictures,"['Slice of Life', 'Supernatural', 'Drama']",1 hr. 39 min.,PG-13 - Teens 13 or older,7.92,682,236614,524,4337,153388,2432,1277,75180,236614,17863,23672,33362,22322,9199,3908,1594,784,331,360
Sailor Moon Sailor Stars,TV,34,Finished Airing,"Mar 9, 1996 to Feb 8, 1997",Spring 1996,Unknown,Toei Animation,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,7.92,1621,91360,994,2182,68334,1861,1154,17829,91360,9824,8405,11101,10245,4563,1978,555,171,97,118
Carole & Tuesday - Statistics,TV,24,Finished Airing,"Apr 11, 2019 to Oct 3, 2019",Spring 2019,Thursdays at 00:55 (JST),Bones,"['Drama', 'Music', 'Sci-Fi']",22 min. per ep.,PG-13 - Teens 13 or older,7.92,631,250175,2291,29380,110372,14654,13096,82673,250175,13552,23279,33428,22056,8774,3824,1557,560,299,370
Code Geass: Lelouch of the Rebellion I - Initiation,Movie,1,Finished Airing,"Oct 21, 2017",,,Sunrise,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Mecha', 'School']",2 hr. 15 min.,R+ - Mild Nudity,7.92,1855,74428,141,1927,40153,810,634,30904,74428,3854,4794,9130,5744,1758,695,274,85,48,114
Death Billiards - Statistics,Movie,1,Finished Airing,"Mar 2, 2013",,,Madhouse,"['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']",25 min.,R - 17+ (violence & profanity),7.92,806,201947,299,2831,158246,1034,520,39316,201947,10717,23806,44791,26987,7755,2396,560,180,94,122
Ergo Proxy - Statistics,TV,23,Finished Airing,"Feb 25, 2006 to Aug 12, 2006",Winter 2006,Saturdays at 19:00 (JST),Manglobe,"['Psychological', 'Mystery', 'Sci-Fi']",25 min. per ep.,R - 17+ (violence & profanity),7.92,278,506826,10530,30500,222065,27631,19750,206880,506826,27957,43512,56276,39086,16959,7974,3753,1457,766,783
Free!: Eternal Summer - Kindan no All Hard! - Statistics,Special,1,Finished Airing,"Mar 18, 2015",,,Kyoto Animation,"['Comedy', 'School', 'Slice of Life']",24 min.,PG-13 - Teens 13 or older,7.92,1788,78796,172,1526,60555,670,950,15095,78796,7190,7238,9954,8602,3528,1523,427,202,100,180
Hidamari Sketch x ☆☆☆ - Statistics,TV,12,Finished Airing,"Jan 8, 2010 to Mar 26, 2010",Winter 2010,Fridays at 01:29 (JST),Shaft,"['Slice of Life', 'Comedy', 'School', 'Seinen']",24 min. per ep.,PG-13 - Teens 13 or older,7.92,3498,23893,136,,,,,,,,,,,,,,,,
Hell Girl: Two Mirrors,TV,26,Finished Airing,"Oct 7, 2006 to Apr 7, 2007",Fall 2006,Saturdays at 19:30 (JST),Studio Deen,"['Mystery', 'Horror', 'Psychological', 'Supernatural']",25 min. per ep.,R - 17+ (violence & profanity),7.92,1154,139321,624,6527,77467,5460,3958,45909,139321,8475,12115,18106,13372,5176,2000,620,232,118,121
The Secret World of Arrietty,Movie,1,Finished Airing,"Jul 17, 2010",,,Studio Ghibli,['Fantasy'],1 hr. 34 min.,G - All Ages,7.92,637,249898,715,2562,208346,1083,351,37556,249898,18794,31793,50966,37541,12523,3947,946,309,99,104
The Anthem of the Heart,Movie,1,Finished Airing,"Sep 19, 2015",,,A-1 Pictures,"['Drama', 'Romance', 'School']",1 hr. 59 min.,PG-13 - Teens 13 or older,7.92,628,252983,1629,7291,152171,2293,845,90383,252983,15238,27245,39208,25021,9241,3824,1492,544,275,336
Lupin the Third,TV,24,Finished Airing,"Oct 2, 2015 to Mar 18, 2016",Fall 2015,Fridays at 01:29 (JST),"TMS Entertainment,       Telecom Animation Film","['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",25 min. per ep.,PG-13 - Teens 13 or older,7.92,2302,53089,334,4843,19735,3126,1740,23645,53089,1623,3355,6459,3917,1171,432,144,41,17,51
Mobile Suit Gundam Thunderbolt: December Sky - Statistics,Movie,1,Finished Airing,"Jun 25, 2016",,,Sunrise,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1 hr. 9 min.,R - 17+ (violence & profanity),7.92,4192,16328,119,431,11515,145,141,4096,16328,953,1945,3149,1747,562,197,79,22,28,22
Mobile Suit Zeta Gundam - Statistics,TV,50,Finished Airing,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,Unknown,Sunrise,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",24 min. per ep.,PG-13 - Teens 13 or older,7.92,2216,56235,1658,4113,34212,2722,1085,14103,56235,4182,6122,8305,5805,2234,939,403,154,71,206
Date A Live II: Kurumi Star Festival - Statistics,OVA,1,Finished Airing,"Dec 8, 2014",,,Production IMS,"['Slice of Life', 'Romance']",30 min.,PG-13 - Teens 13 or older,7.91,1164,137998,853,1931,117184,699,414,17770,137998,15051,14735,24267,17787,6953,3002,923,359,191,165
Monthly Girls' Nozaki-kun,TV,12,Finished Airing,"Jul 7, 2014 to Sep 22, 2014",Summer 2014,Mondays at 01:05 (JST),Doga Kobo,"['Comedy', 'Romance', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.91,146,731830,9347,38298,505142,20693,17778,149919,731830,43669,86536,132128,91779,32361,12471,3440,1114,488,476
Macross Frontier,TV,25,Finished Airing,"Apr 4, 2008 to Sep 26, 2008",Spring 2008,Fridays at 01:25 (JST),Satelight,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.91,1214,131998,1742,6722,74578,5513,4532,40653,131998,7805,13483,18922,12958,5138,2198,794,311,149,128
Megalo Box (Megalobox) - Statistics,TV,13,Finished Airing,"Apr 6, 2018 to Jun 29, 2018",Spring 2018,Fridays at 01:28 (JST),TMS Entertainment,"['Action', 'Sci-Fi', 'Sports', 'Drama']",24 min. per ep.,R - 17+ (violence & profanity),7.91,382,386841,2489,34389,239373,10752,9982,92345,386841,18130,45011,74548,44885,14277,5185,1806,564,241,275
Mobile Suit Gundam 0080: War in the Pocket - Statistics,OVA,6,Finished Airing,"Mar 25, 1989 to Aug 25, 1989",,,Sunrise,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",27 min. per ep.,PG-13 - Teens 13 or older,7.91,2499,45207,686,1061,31358,616,408,11764,45207,3109,5469,7747,5312,1882,767,245,87,42,48
Terra e... (TV) - Statistics,TV,24,Finished Airing,"Apr 7, 2007 to Sep 22, 2007",Spring 2007,Saturdays at 18:00 (JST),"Tokyo Kids,       Minami Machi Bugyousho","['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.91,2264,54542,838,2306,19519,2239,1890,28588,54542,2505,3640,4848,3448,1532,712,328,122,62,65
There She Is!! - Statistics,ONA,5,Finished Airing,"Apr 20, 2003 to Dec 9, 2008",,,"None found, add some","['Comedy', 'Romance']",5 min. per ep.,G - All Ages,7.91,3649,22019,137,328,15563,205,231,5692,22019,2183,2663,3226,2363,1026,566,155,83,52,59
Yuri!!! on Ice - Statistics,TV,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016",Fall 2016,Thursdays at 02:21 (JST),MAPPA,"['Comedy', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,7.91,176,654666,16692,36648,487442,14436,26553,89587,654666,77989,76307,98975,77607,35037,16912,6911,3051,1940,3135
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai - Statistics,Special,1,Finished Airing,"Aug 30, 2014",,,Toei Animation,"['Adventure', 'Comedy', 'Fantasy', 'Shounen']",1 hr. 47 min.,PG-13 - Teens 13 or older,7.9,1945,67834,86,995,59834,357,282,6366,67834,6087,7687,13165,9641,3293,1143,360,140,50,104
Zan Sayonara Zetsubou Sensei - Statistics,TV,13,Finished Airing,"Jul 5, 2009 to Sep 27, 2009",Summer 2009,Unknown,Shaft,"['Comedy', 'Parody', 'School', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),7.9,1602,92401,208,4067,47205,3245,1913,35971,92401,4030,7348,12125,8600,2734,943,271,99,52,70
Berserk: The Golden Age Arc II - The Battle for Doldrey,Movie,1,Finished Airing,"Jun 23, 2012",,,Studio 4°C,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']",1 hr. 32 min.,R+ - Mild Nudity,7.9,1005,160481,516,2026,138148,667,544,19096,160481,13472,21476,35042,22192,7763,2881,1167,463,277,359
Mobile Police Patlabor 2: The Movie,Movie,1,Finished Airing,"Aug 7, 1993",,,"Production I.G,       Production Reed","['Military', 'Sci-Fi', 'Mystery', 'Police', 'Drama', 'Mecha']",1 hr. 48 min.,PG-13 - Teens 13 or older,7.9,3327,26602,446,706,15711,281,162,9742,26602,1593,2678,3682,2651,1000,360,162,56,19,40
Lupin III vs. Detective Conan: The Movie - Statistics,Movie,1,Finished Airing,"Dec 7, 2013",,,TMS Entertainment,"['Action', 'Comedy', 'Mystery', 'Shounen']",1 hr. 48 min.,G - All Ages,7.9,3462,24485,44,417,18468,196,203,5201,24485,1865,2445,4063,2844,1007,401,121,39,27,37
Magical Girl Lyrical Nanoha: The Movie 1st,Movie,1,Finished Airing,"Jan 23, 2010",,,Seven Arcs,"['Action', 'Sci-Fi', 'Comedy', 'Drama', 'Magic']",2 hr. 10 min.,R+ - Mild Nudity,7.9,3226,28065,184,443,18743,337,264,8278,28065,1940,2933,4193,2982,1115,461,155,63,36,42
Aggressive Retsuko (ONA) 3rd Season - Statistics,ONA,10,Finished Airing,"Aug 27, 2020",,,Fanworks,"['Slice of Life', 'Comedy']",16 min. per ep.,PG-13 - Teens 13 or older,7.89,2383,49858,167,1334,40353,388,188,7595,49858,2480,6498,11951,7771,1993,571,171,58,21,19
Beelzebub - Statistics,TV,60,Finished Airing,"Jan 9, 2011 to Mar 25, 2012",Winter 2011,Sundays at Unknown,Pierrot Plus,"['Action', 'Comedy', 'Demons', 'Supernatural', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.89,299,488003,4516,43045,265665,34679,35589,109025,488003,28360,45346,71282,54010,21128,9074,3378,1330,674,538
Case Closed: The Fourteenth Target,Movie,1,Finished Airing,"Apr 18, 1998",,,TMS Entertainment,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",1 hr. 39 min.,PG-13 - Teens 13 or older,7.89,2352,50911,49,417,46969,199,223,3103,50911,4210,5643,10188,7883,2433,867,182,65,23,40
Durarara!! Specials - Statistics,Special,2,Finished Airing,"Aug 25, 2010 to Feb 23, 2011",,,Brain's Base,"['Action', 'Comedy', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),7.89,1062,152778,151,2998,123297,1822,779,23882,152778,10533,16907,28275,20159,6896,2457,631,224,127,143
Ponyo,Movie,1,Finished Airing,"Jul 19, 2008",,,Studio Ghibli,"['Adventure', 'Fantasy']",1 hr. 40 min.,G - All Ages,7.89,373,400953,2217,3673,354825,1306,639,40510,400953,39149,51170,78001,62533,22822,8450,2518,799,411,332
The Labyrinth of Grisaia: The Cocoon of Caprice 0,Special,1,Finished Airing,"Apr 12, 2015",,,NaN,['Drama'],47 min.,R+ - Mild Nudity,7.89,869,188436,598,3522,156742,990,622,26560,188436,12958,21628,41523,25106,8073,2933,956,413,213,246
Noragami Aragoto OVA - Statistics,OVA,2,Finished Airing,"Nov 17, 2015 to Mar 17, 2016",,,Bones,"['Action', 'Adventure', 'Comedy', 'Shounen', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,7.89,785,207343,324,5921,165221,2504,652,33045,207343,14952,19477,35620,27351,8845,3038,612,225,106,117
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken - Statistics,Special,1,Finished Airing,"Aug 26, 2017",,,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",1 hr. 46 min.,PG-13 - Teens 13 or older,7.89,3420,25135,15,669,20124,225,225,3892,25135,2002,2225,4231,3140,1053,378,78,40,16,49
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu - Statistics,OVA,1,Finished Airing,"Apr 30, 2009",,,"Brain's Base,       Marvy Jack","['Adventure', 'Fantasy', 'Historical', 'Romance']",23 min.,PG-13 - Teens 13 or older,7.89,1124,144027,268,2320,110983,1103,516,29105,144027,9440,14500,27436,19178,6077,1973,463,168,68,94
"Sayonara, Zetsubou-Sensei",TV,12,Finished Airing,"Jul 8, 2007 to Sep 23, 2007",Summer 2007,Unknown,Shaft,"['Comedy', 'Parody', 'School', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),7.89,529,295830,4266,17044,133919,16000,11179,117688,295830,12917,24282,36521,25389,9442,3783,1497,555,259,297
Seitokai Yakuindomo* OVA - Statistics,OVA,10,Finished Airing,"May 16, 2014 to Sep 17, 2020",,,GoHands,"['Slice of Life', 'Comedy', 'School', 'Shounen']",25 min. per ep.,R - 17+ (violence & profanity),7.89,1997,65905,96,23779,10933,7834,1562,21797,65905,3010,4789,9293,6076,1834,609,152,67,30,59
The Prince of Tennis,TV,178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,Unknown,Trans Arts,"['Action', 'Comedy', 'School', 'Shounen', 'Sports']",22 min. per ep.,PG-13 - Teens 13 or older,7.89,1089,149052,2747,11873,79820,13319,12966,31074,149052,9792,13018,20534,17091,6938,3211,1102,454,212,230
Gunbuster,OVA,6,Finished Airing,"Oct 7, 1988 to Jul 7, 1989",,,Gainax,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",30 min. per ep.,R+ - Mild Nudity,7.89,1479,100949,2284,3595,52775,2026,1142,41411,100949,6070,9455,13006,8984,3595,1470,718,311,132,108
Vampire Hunter D: Bloodlust,Movie,1,Finished Airing,"Aug 25, 2000",,,Madhouse,"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",1 hr. 42 min.,R - 17+ (violence & profanity),7.89,1200,133858,1305,2680,94823,889,557,34909,133858,9447,14620,22150,16632,5887,2108,656,229,128,99
Space Dandy,TV,13,Finished Airing,"Jan 5, 2014 to Mar 27, 2014",Winter 2014,Unknown,Bones,"['Sci-Fi', 'Space', 'Comedy']",24 min. per ep.,PG-13 - Teens 13 or older,7.88,552,283535,4283,19010,143188,14948,11865,94524,283535,14929,24675,39750,28693,10129,4138,1703,573,329,329
Tanaka-kun is Always Listless,TV,12,Finished Airing,"Apr 9, 2016 to Jun 25, 2016",Spring 2016,Saturdays at 22:00 (JST),SILVER LINK.,"['Slice of Life', 'Comedy', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.88,442,343679,3320,22979,196334,11536,11804,101026,343679,16939,29340,54591,38849,12854,4977,1389,486,273,258
Tentai Senshi Sunred 2nd Season - Statistics,TV,26,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",Fall 2009,Unknown,AIC ASTA,"['Comedy', 'Parody', 'Seinen', 'Super Power']",13 min. per ep.,PG-13 - Teens 13 or older,7.88,5865,7061,29,463,3841,298,272,2187,7061,392,750,1048,621,221,111,34,20,6,19
Carnival Phantasm - Statistics,OVA,12,Finished Airing,"Aug 14, 2011 to Dec 31, 2011",,,Lerche,"['Comedy', 'Parody', 'Supernatural']",14 min. per ep.,PG-13 - Teens 13 or older,7.88,1010,159148,1375,7441,94768,4978,3647,48314,159148,11017,14501,23882,17451,6774,2663,868,376,195,206
Hanasaku Iroha the Movie: Home Sweet Home,Movie,1,Finished Airing,"Mar 9, 2013",,,P.A. Works,"['Comedy', 'Drama', 'Slice of Life']",1 hr. 6 min.,PG-13 - Teens 13 or older,7.88,1862,74088,80,2569,39007,940,421,31151,74088,2659,5864,11008,6992,2053,679,158,66,24,39
Id:Invaded (ID: INVADED) - Statistics,TV,13,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",Winter 2020,Mondays at 00:30 (JST),NAZ,"['Mystery', 'Police', 'Psychological', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),7.88,672,239212,1845,22569,119233,7846,9639,79925,239212,9599,21530,36398,23661,8006,3096,1193,463,161,164
Initial D Third Stage - Statistics,Movie,1,Finished Airing,"Jan 13, 2001",,,Studio Deen,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",1 hr. 45 min.,PG-13 - Teens 13 or older,7.88,1284,123338,438,1507,106092,548,374,14817,123338,9890,13468,25461,20110,6096,1800,441,162,49,70
the Garden of sinners Chapter 4: The Hollow Shrine,Movie,1,Finished Airing,"May 24, 2008",,,ufotable,"['Action', 'Mystery', 'Supernatural', 'Thriller']",46 min.,R - 17+ (violence & profanity),7.88,915,178471,274,2208,140870,1214,406,33773,178471,11362,20666,40280,24818,7465,2703,916,345,131,163
Beyond the Boundary: I'll Be Here - Past Special,Special,1,Finished Airing,"Mar 14, 2015",,,Kyoto Animation,['Music'],4 min.,PG-13 - Teens 13 or older,7.88,2424,48274,74,1214,33174,499,415,12972,48274,3248,3489,6438,4875,1692,656,149,78,45,61
Magi: Adventure of Sinbad,TV,13,Finished Airing,"Apr 16, 2016 to Jul 2, 2016",Spring 2016,Saturdays at 02:25 (JST),Lay-duce,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.88,393,376405,1243,16752,275543,7652,6061,70397,376405,20790,40404,71741,48740,15255,5379,1594,604,229,241
Aoki Hagane no Arpeggio: Ars Nova Cadenza - Statistics,Movie,1,Finished Airing,"Oct 3, 2015",,,SANZIGEN,"['Action', 'Sci-Fi', 'Seinen']",1 hr. 45 min.,PG-13 - Teens 13 or older,7.87,3262,27450,128,859,14957,412,274,10948,27450,1506,2199,3349,2317,928,386,140,66,19,22
Bungou Stray Dogs: Dead Apple - Statistics,Movie,1,Finished Airing,"Mar 3, 2018",,,Bones,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",1 hr. 30 min.,R - 17+ (violence & profanity),7.87,998,161003,1008,2908,119025,1076,419,37575,161003,13659,15305,26258,20903,7186,2607,1000,329,144,115
Douluo Dalu - Statistics,ONA,26,Finished Airing,"Jan 20, 2018 to Jul 14, 2018",,,Sparkly Key Animation Studio,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",20 min. per ep.,PG-13 - Teens 13 or older,7.87,4115,17030,245,,,,,,,,,,,,,,,,
The Dog of Flanders,Movie,1,Finished Airing,"Mar 15, 1997",,,Nippon Animation,"['Drama', 'Historical']",1 hr. 42 min.,G - All Ages,7.87,3991,18129,71,480,6028,242,178,11201,18129,782,1002,1332,965,411,190,61,31,15,23
Free! Starting Days,Movie,1,Finished Airing,"Dec 5, 2015",,,Kyoto Animation,"['Comedy', 'Drama', 'School', 'Slice of Life', 'Sports']",1 hr. 50 min.,PG-13 - Teens 13 or older,7.87,1876,72855,216,1415,46622,728,474,23616,72855,5026,5843,9557,7525,2837,1037,358,104,56,109
Hozuki's Coolheadedness 2,TV,13,Finished Airing,"Apr 8, 2018 to Jul 1, 2018",Spring 2018,Sundays at 01:00 (JST),Studio Deen,"['Comedy', 'Demons', 'Fantasy', 'Seinen', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,7.84,3618,22470,38,1819,12219,501,326,7605,22470,928,1587,3320,2282,635,248,58,25,9,22
Hoozuki no Reitetsu OVA - Statistics,OVA,4,Finished Airing,"Feb 23, 2015 to Mar 23, 2017",,,"Studio Deen,       Wit Studio","['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",26 min. per ep.,PG-13 - Teens 13 or older,7.87,4352,14838,19,816,8944,586,211,4281,14838,748,1200,2279,1535,482,141,30,13,9,17
Kaleido Star: Legend of Phoenix - The Layla Hamilton Story,OVA,1,Finished Airing,"Dec 11, 2005",,,Gonzo,"['Comedy', 'Drama', 'Shoujo']",50 min.,PG - Children,7.87,4597,12841,38,202,9430,118,124,2967,12841,907,1305,1859,1394,564,201,43,23,14,18
Kono Oto Tomare!: Sounds of Life,TV,13,Finished Airing,"Apr 7, 2019 to Jun 30, 2019",Spring 2019,Sundays at 01:00 (JST),Platinum Vision,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.87,948,170279,1224,12596,82419,4816,5774,64674,170279,7520,12605,23443,16630,5106,2135,735,295,109,119
Les Misérables: Shoujo Cosette - Statistics,TV,52,Finished Airing,"Jan 7, 2007 to Dec 30, 2007",Winter 2007,Unknown,Nippon Animation,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']",24 min. per ep.,G - All Ages,7.87,3600,22752,200,1184,8585,1216,954,10813,22752,1239,1291,1896,1622,743,291,114,47,27,30
